Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
MM Ali,2014-2019,92,86,78,4/46,47.02,5.22,54.0,0
JM Anderson,2002-2015,194,191,269,5/23,29.22,4.92,35.6,2
ZS Ansari,2015-2015,1,-,-,-,-,-,-,-
JM Bairstow,2011-2019,59,-,-,-,-,-,-,-
JT Ball,2016-2018,18,18,21,5/51,46.66,6.20,45.0,1
GS Ballance,2013-2015,16,-,-,-,-,-,-,-
IR Bell,2004-2015,161,6,6,3/9,14.66,6.00,14.6,0
SW Billings,2015-2018,15,-,-,-,-,-,-,-
RS Bopara,2007-2015,120,74,40,4/38,38.07,4.91,46.5,0
SG Borthwick,2011-2011,2,2,0,-,-,8.00,-,0
TT Bresnan,2006-2015,85,84,109,5/48,34.98,5.42,38.7,1
DR Briggs,2012-2012,1,1,2,2/39,19.50,3.90,30.0,0
SCJ Broad,2006-2016,121,121,178,5/23,30.13,5.26,34.3,1
JC Buttler,2012-2019,127,-,-,-,-,-,-,-
MA Carberry,2013-2014,6,1,0,-,-,12.00,-,0
PD Collingwood,2001-2011,197,151,111,6/31,38.68,4.96,46.7,1
AN Cook,2006-2014,92,-,-,-,-,-,-,-
SM Curran,2018-2018,2,2,2,2/44,45.00,7.50,36.0,0
TK Curran,2017-2019,13,13,18,5/35,32.27,6.25,30.9,1
SM Davies,2009-2011,8,-,-,-,-,-,-,-
LA Dawson,2016-2018,3,2,3,2/70,32.00,6.85,28.0,0
JW Dernbach,2011-2013,24,24,31,4/45,42.19,6.35,39.8,0
BM Duckett,2016-2016,3,-,-,-,-,-,-,-
ST Finn,2011-2017,69,67,102,5/33,29.37,5.06,34.8,2
HF Gurney,2014-2014,10,10,11,4/55,39.27,5.69,41.3,0
AD Hales,2014-2019,70,-,-,-,-,-,-,-
CJ Jordan,2013-2016,31,31,43,5/29,35.37,5.95,35.6,1
C Kieswetter,2010-2013,46,-,-,-,-,-,-,-
MJ Lumb,2014-2014,3,-,-,-,-,-,-,-
SC Meaker,2011-2011,2,2,2,1/45,55.00,5.78,57.0,0
EJG Morgan,2009-2019,194,-,-,-,-,-,-,-
C Overton,2018-2018,1,1,0,-,-,7.85,-,0
SD Parry,2014-2014,2,2,4,3/32,23.00,4.84,28.5,0
SR Patel,2008-2013,36,32,24,5/41,45.45,5.51,49.4,1
KP Pietersen,2004-2013,134,23,7,2/22,52.85,5.55,57.1,0
LE Plunkett,2005-2019,78,76,116,5/52,30.66,5.88,31.2,1
MJ Prior,2004-2011,68,-,-,-,-,-,-,-
WB Rankin,2013-2014,7,6,10,4/46,24.10,4.53,31.9,0
AU Rashid,2009-2019,83,77,128,5/27,29.74,5.58,31.9,2
TS Roland-Jones,2017-2017,1,1,1,1/34,34.00,4.85,42.0,0
JE Root,2013-2019,126,60,20,3/52,64.95,5.80,67.1,0
JJ Roy,2015-2019,73,-,-,-,-,-,-,-
A Shahzad,2010-2011,11,11,17,3/41,28.82,5.00,34.5,0
RJ Sidebottom,2001-2010,25,25,29,3/19,35.82,4.88,44.0,0
BA Stokes,2011-2019,79,64,63,5/61,40.66,6.13,39.7,1
OP Stone,2018-2018,4,3,1,1/23,97.00,6.06,96.0,0
AJ Strauss,2003-2011,127,1,0,-,-,3.00,-,0
GP Swann,2000-2013,79,76,104,5/28,27.76,4.54,36.6,1
JWA Taylor,2011-2015,27,-,-,-,-,-,-,-
RJW Topley,2015-2016,10,10,16,4/50,25.62,5.31,28.9,0
JC Tredwell,2010-2015,45,44,60,4/41,27.76,4.75,35.0,0
CT Tremlett,2005-2011,15,15,15,4/32,47.00,5.39,52.2,0
IJL Trott,2009-2013,68,10,2,2/31,83.00,5.44,91.5,0
JM Vince,2015-2018,6,-,-,-,-,-,-,-
DJ Willey,2015-2018,42,41,48,4/34,34.68,5.67,36.6,0
CR Woakes,2011-2019,84,80,116,6/45,31.62,5.61,33.8,2
MA Wood,2015-2019,40,39,41,4/33,45.14,5.58,48.4,0
LJ Wright,2007-2014,50,37,15,2/34,58.93,5.10,69.2,0
MH Yardy,2006-2011,28,28,21,3/24,51.19,4.84,63.4,0
